                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                0.69999,                0.55274,                 1.0224,                 0.8722,                0.83041,                0.89849,                0.74056,                0.70827,                0.59658,                 1.0132,              0.0003235,              0.0003235,              0.0003235
                     85,                0.69686,                0.55011,                 1.0232,                0.86404,                  0.842,                0.90164,                0.74244,                 0.7064,                0.58846,                  1.013,             0.00031525,             0.00031525,             0.00031525
                     86,                 0.6943,                0.54719,                 1.0191,                0.87068,                0.83393,                0.90279,                0.74374,                0.70565,                0.58684,                 1.0122,               0.000307,               0.000307,               0.000307
                     87,                0.69385,                0.55582,                 1.0177,                0.85641,                0.84748,                0.90462,                0.74712,                0.70615,                0.58477,                 1.0115,             0.00029875,             0.00029875,             0.00029875
                     88,                0.68853,                0.54137,                 1.0134,                 0.8765,                0.83221,                0.90125,                0.74083,                0.70831,                 0.5886,                 1.0131,              0.0002905,              0.0002905,              0.0002905
                     89,                0.69768,                0.53935,                 1.0204,                0.87005,                0.83978,                0.90097,                0.74147,                0.71189,                0.58861,                 1.0176,             0.00028225,             0.00028225,             0.00028225
                     90,                0.69105,                0.53962,                 1.0168,                0.86074,                0.84261,                0.90178,                0.74388,                0.70358,                0.58719,                 1.0108,               0.000274,               0.000274,               0.000274
                     91,                0.69306,                0.54058,                 1.0182,                0.86383,                0.84639,                0.90198,                0.74273,                0.70517,                0.58604,                 1.0105,             0.00026575,             0.00026575,             0.00026575
                     92,                0.68616,                0.54287,                  1.018,                0.86226,                0.84319,                0.90285,                0.74499,                0.69944,                0.58378,                 1.0093,              0.0002575,              0.0002575,              0.0002575
                     93,                0.68412,                0.53366,                   1.01,                0.87321,                0.84302,                0.90451,                0.74546,                0.70584,                0.57943,                 1.0122,             0.00024925,             0.00024925,             0.00024925
                     94,                0.67893,                0.53472,                 1.0138,                0.86886,                0.84392,                 0.9076,                0.75084,                0.70228,                0.57612,                 1.0106,               0.000241,               0.000241,               0.000241
                     95,                0.68563,                0.52843,                 1.0137,                0.86321,                0.84195,                0.90473,                0.74822,                0.70467,                0.58359,                 1.0121,             0.00023275,             0.00023275,             0.00023275
                     96,                0.68637,                0.53111,                 1.0089,                0.87485,                0.83446,                0.90135,                0.74629,                0.70319,                0.58852,                 1.0087,              0.0002245,              0.0002245,              0.0002245
                     97,                0.68375,                0.52879,                 1.0108,                0.86696,                 0.8365,                0.90356,                0.74725,                0.70415,                0.58533,                 1.0101,             0.00021625,             0.00021625,             0.00021625
                     98,                 0.6799,                0.52113,                 1.0091,                0.87394,                0.83551,                0.90372,                0.74758,                0.70237,                0.58345,                 1.0077,               0.000208,               0.000208,               0.000208
                     99,                0.67524,                0.52204,                 1.0101,                0.87287,                 0.8373,                0.90529,                  0.748,                0.70287,                0.58264,                 1.0098,             0.00019975,             0.00019975,             0.00019975
                    100,                0.67748,                0.52466,                 1.0112,                0.87718,                 0.8266,                0.89991,                0.74565,                0.69956,                0.58366,                 1.0079,              0.0001915,              0.0001915,              0.0001915
                    101,                0.66942,                0.52207,                 1.0074,                0.86231,                0.84253,                0.90398,                0.74826,                0.69927,                0.57444,                 1.0074,             0.00018325,             0.00018325,             0.00018325
                    102,                0.66761,                0.51366,                 1.0052,                0.86998,                0.84128,                0.90417,                 0.7487,                0.70136,                0.57747,                 1.0085,               0.000175,               0.000175,               0.000175
                    103,                0.67045,                 0.5135,                 1.0054,                0.87597,                0.83005,                0.89956,                0.74373,                0.70517,                0.58647,                 1.0122,             0.00016675,             0.00016675,             0.00016675
                    104,                0.66773,                0.51029,                 1.0057,                0.88528,                0.82198,                0.90047,                0.74455,                 0.7006,                0.57796,                 1.0095,              0.0001585,              0.0001585,              0.0001585
                    105,                0.67797,                0.51199,                 1.0092,                0.87426,                0.82984,                0.90135,                0.74552,                0.69975,                0.57377,                 1.0087,             0.00015025,             0.00015025,             0.00015025
                    106,                0.67311,                0.51349,                 1.0087,                0.87066,                0.84168,                0.90318,                0.74791,                0.69742,                0.57346,                 1.0074,               0.000142,               0.000142,               0.000142
                    107,                0.66228,                0.50096,                 1.0029,                  0.868,                0.83665,                0.89944,                0.74501,                0.69875,                 0.5815,                  1.008,             0.00013375,             0.00013375,             0.00013375
                    108,                0.66666,                0.50668,                  1.006,                0.87666,                 0.8297,                 0.8997,                0.74319,                 0.6988,                0.58015,                 1.0069,              0.0001255,              0.0001255,              0.0001255
                    109,                0.66488,                0.50153,                 1.0023,                 0.8722,                0.83582,                0.90083,                0.74548,                0.69747,                 0.5787,                 1.0061,             0.00011725,             0.00011725,             0.00011725
                    110,                0.65713,                0.50104,                 1.0006,                 0.8769,                0.82941,                 0.9006,                0.74739,                0.70032,                0.57894,                 1.0089,               0.000109,               0.000109,               0.000109
                    111,                0.61136,                0.43089,                0.95818,                0.86778,                0.83657,                0.89979,                0.74483,                0.70094,                0.57918,                  1.009,             0.00010075,             0.00010075,             0.00010075
                    112,                0.60535,                0.42007,                0.94915,                0.87218,                0.83282,                0.90001,                0.74444,                0.70002,                0.58059,                 1.0082,               9.25e-05,               9.25e-05,               9.25e-05
                    113,                0.60506,                0.42576,                0.95019,                 0.8613,                0.83826,                0.89958,                0.74441,                0.69948,                0.58288,                 1.0082,              8.425e-05,              8.425e-05,              8.425e-05
                    114,                0.59787,                0.41463,                0.94403,                0.86815,                 0.8387,                0.90092,                0.74719,                 0.6977,                0.58159,                 1.0075,                7.6e-05,                7.6e-05,                7.6e-05
                    115,                0.59854,                0.41068,                0.94806,                0.86747,                0.83353,                0.89918,                0.74607,                0.69631,                 0.5833,                 1.0062,              6.775e-05,              6.775e-05,              6.775e-05
                    116,                0.60011,                0.41272,                0.94725,                0.86342,                0.83954,                0.90028,                0.74731,                0.69527,                0.58247,                 1.0061,               5.95e-05,               5.95e-05,               5.95e-05
                    117,                0.58977,                0.41011,                0.94366,                0.86386,                0.84169,                0.89978,                0.74643,                0.69536,                0.58039,                 1.0072,              5.125e-05,              5.125e-05,              5.125e-05
                    118,                0.59443,                0.40513,                0.94357,                0.86778,                0.84093,                0.90074,                0.74784,                0.69596,                0.57969,                 1.0066,                4.3e-05,                4.3e-05,                4.3e-05
                    119,                0.58523,                0.40002,                0.94272,                0.87279,                0.83755,                0.89975,                0.74735,                0.69539,                0.57997,                 1.0069,              3.475e-05,              3.475e-05,              3.475e-05
                    120,                0.59167,                0.40645,                0.94412,                0.87119,                0.83956,                0.90009,                0.74743,                0.69586,                0.58107,                 1.0064,               2.65e-05,               2.65e-05,               2.65e-05
